benefit,category,company address,company district,company id,company name,company province,description,level,name,requirement,salary,type,contact email,contact name,contact phone,work place
"- Salary package: Competitive and negotiable
- Salary review: 2 times/ year
- Applicable for all normal benefits: insurance, 13th salary, annual outing trip, team building activities
- Sport activities: Football, swimming, etc. (Company sponsor)
- Training: Language training, soft skills and technical skills training.
- Working environment: dynamic, innovative and friendly.",IT-Phần mềm,"Tầng 4 Tòa nhà SFC, số 9 Đinh Tiên Hoàng, phường Đa Kao",Quận 1,5386950a76656e179c0e0000,Công ty TNHH EVOLABLE Asia,Hồ Chí Minh,Develop websites and online applications for our Japanese clients using Java language.,Nhân viên,Java Developer (3 Vacancies)," +Experience:
- At least 2 years of Web development experience using Java of Oracle or MySQL.
-Having experience Struts & Spring Framwork, Hibernate, Velocity
-Knowledge Javascript SVN or Giteclipse.
- Knowledge Unix / Linux & UML
- Having experience in PHP is plus
+ Skills:
- Be able to read and understand English documents
- Good sense of teamwork and high responsibility
- Good communication skill
- Self-motivated, self-disciplined
   + Education:
- Bachelor degree in Computer Science, Information Technology or equivalent .",Lương cạnh tranh,Toàn thời gian,jobs@evolable.asia,,,Hồ Chí Minh
"-Salary package:  Competitive and negotiable
-Sport activities: Football, swimming, etc. (Company sponsor)
-Training: Language training, soft skills and technical skills training.
-Working environment: dynamic, innovative and friendly.",IT-Phần mềm,"Tầng 4 Tòa nhà SFC, số 9 Đinh Tiên Hoàng, phường Đa Kao",Quận 1,5386950a76656e179c0e0000,Công ty TNHH EVOLABLE Asia,Hồ Chí Minh,"We are in urgent need of enthusiastic and professional Japanese Operator.
+ Principal Accountabilities:
Using specialized systems to process data for Japanese customers and Japanese market.
Join the Skype Meeting, Chat Meeting and face to face meeting using Japanese language",Nhân viên,Nhân Viên Xử Lý Dữ Liệu tiếng Nhật / Part-time(10 Vacancies),"+ Education: Bachelor degree or equivalent
+ Skills:
-Fluent in Japanese at the level of N2 or N3
-Be able to read and understand English documents
-Good at using MS Office
-Good sense of teamwork and high responsibility
-Good communication skills and organizing skills
-Self-motivated, self-disciplined
-Able to work both independently and as part of a team
-Prefer Student	",Lương thỏa thuận,Thời vụ,jobs@evolable.asia,,,Hồ Chí Minh
,"Hàng tiêu dùng,Thực phẩm","lầu 6,134 Bạch Đằng, F.2, Q.Tân Bình, TP Hồ Chí Minh",Quận Tân Bình,5386950a76656e179c150000,Công Ty TNHH MT – DV  Xuất Nhập Khẩu SISIO Việt Nam,Hồ Chí Minh,Đăng tin lên các website cộng đồng hoặc các diễn đàn nội dung và hình thức trình bày đã có sẵn,Nhân viên,Cộng Tác Viên Đăng Tin Online Tại Nhà.,,3000000 - 5000000,Thời vụ,ngoquocvuong0205@gmail.com,,,Hồ Chí Minh
Nhiều chính sách cho nhân viên theo luật lao động và chế độ phục lợi có trong quy chế công ty (tham khảo thêm quy chế công ty khi được mời phỏng vấn),Kinh doanh,Phòng HCNS - 152 Đường Láng,Quận Đống Đa,5386950a76656e179c170000,Công ty TNHH Sỹ Phú,Hà Nội,Nhiệm vụ chính: Chuyển món từ bếp ra bàn và ngược lại và nhân viên bàn thực hiện công việc của nhà hàng.,Nhân viên,Nhân viên phục vụ,"a.Trình độ: Tốt nghiệp PTTH hoặc các trường đào tạo nghề, chuyên ngành Lễ tân - Bàn.
b.Kinh nghiệm: Dưới 1 năm kinh nghiệm phục vụ, chạy bàn trong các nhà hàng
c.Nam,nữ tuổi từ 18-28.
d.Ngoại hình khá.
e.Giao tiếp tốt.
3.Yêu cầu công việc:
a.Làm việc theo ca: từ 09h30-13h30 nghỉ giữa ca sau đó làm tiếp từ 16h30-21h30
b.Có phương tiện đến nơi làm việc: xe đạp, xe máy
c.Làm việc tại một trong các địa điểm: 152 đường Láng, 9 Nguyễn Khắc Cần, 5 Trúc Bạch
Lưu ý: chỉ liên hệ trong giờ hành chính
Ưu tiên sinh viên đi làm thêm, biết ngoại ngữ.",1 - 3 triệu,Toàn thời gian,nhansu@syphu.vn,,,Hà Nội
"Tháng nghỉ 3 buổi. không đi làm được cộng thêm vào lương. làm thêm giờ được cộng thêm vào lương.
",Hàng tiêu dùng/Thực phẩm,Số 9 Ngõ 71/7 Phố Linh Lang - Ba Đình - Hà Nội      ,Quận Ba Đình,5386950a76656e179c190000,Công ty TNHH DV & DL Tam Đại,Hà Nội,"- Nữ nhân viên lễ tân : (10 người): trực điện thoại, đứng cửa đón khách, đưa khách vào bàn. lương 3 - 7 triệu/tháng
- Nữ nhân viên tạp vụ: (2 người) : lau chùi , quét dọn, rửa cốc ly .lương 2 triệu/tháng.
",Nhân viên,Nhân viên làm cho CLB,"Ưu tiên ngoại hình khá, biêt tiếng anh hoặc tiếng Nhật
Yêu cầu giới tính: 	Nữ
Yêu cầu độ tuổi: 	18 - 24 tuổi
",5000000-7000000,Thời vụ,charmingladyvietnam@yahoo.com.vn,,,Hà Nội
"a.Cơm trưa miễn phí do công ty cung cấp.
b.Nhiều chính sách khác cho nhân viên theo luật lao động và chế độ phục lợi có trong quy chế công ty (tham khảo thêm quy chế công ty khi được mời phỏng vấn)",Kinh doanh,Phòng HCNS - 152 Đường Láng,Quận Đống Đa,5386950a76656e179c170000,Công ty TNHH Sỹ Phú,Hà Nội,"Làm nhân viên Bảo vệ cho 1 trong 2 nhà hàng của Công ty ở các địa chỉ: 9 Nguyễn Khắc Cần, 5 Trúc Bạch.",Nhân viên,Nhân viên bảo vệ,"- Nam từ 23 - 45 Tuổi
- Nam hình thức ưa nhìn, khoẻ mạng, có kinh nghiêm làm bảo vệ, ưu tiên những người đã từng nhập ngũ
- Ưu tiên bộ đội xuất ngũ;
- Ưu tiên có gia đình, công việc có thể ổn định;
- Chững chạc, không dữ tướng, dáng khoẻ mạnh;
- Có phương tiện đi lại là xe đạp hoặc xe máy;
- Hồ sơ lý lịch rõ ràng;
- Tính kỷ luật, cẩn thận, nguyên tắc;
- Thái độ tốt, cầu thị, quan tâm đến công việc;
- Văn hoá từ lớp 9 trở lên;
- Ưu tiên có kinh nghiệm;",1 - 3 triệu,Toàn thời gian,nhansu@syphu.vn,,,Hà Nội
"- Làm việc tại TPHCM
- Được đào tạo kỹ năng chuyên môn, kỹ năng mềm, ngoại ngữ (Nhật, Anh) trong quá trình làm việc
- Được tham gia nghiên cứu những công nghệ mới
- Được làm việc trong môi trường quốc tế năng động, thân thiện.
- Làm việc từ thứ 2 - thứ 6; thứ 7, CN nghỉ
- Được hưởng mọi quyền lợi như chế độ nghỉ phép, lễ tết, ốm đau,..bảo hiểm xã hội, y tế theo luật lao động (sau khi được ký hợp đồng chính thức)
- Cơ hội làm việc trực tiếp với kỹ sư Nhật Bản và được học hỏi cách làm việc chuyên nghiệp sản xuất sản phẩm chất lượng cao của Nhật Bản.
- Có cơ hội đi công tác hoặc làm onsite bên Nhật Bản.
Và nhiều chế độ khác. Các ứng cử viên có thể hỏi trực tiếp khi được phỏng vấn.",IT-Phần mềm,"3/18 Hoàng Xuân Nhị, P.Phú Trung, Q.Tân Phú    ",Quận Tân Phú,5386950a76656e179c1c0000,51bee14bcc058ee10c000007,Hồ Chí Minh,"Tham gia phát triển website, webgame và các phần mềm ứng dụng trên nền web HTML5
""* Đối với vị trí PHP Developer
- Ít nhất 1 năm kinh nghiệm lập trình web
- Thành thạo PHP và 1 trong các framework của PHP: Zend, Magento, Symfony, Cake, Codeigniter, ...
- Hiểu sâu về OOD, OOP, Design Patterns, Systems analysis and design.
- Có kiến thức về: Json-RPC, Ajax, Web service.
- Có kiến thức về: HTML/CSS/HTML5/CSS3/JavaScript/JQuery.
- Có kiến thức về NoSQL (MongoDB, Redis, Cassandra, HBase,...) là một điểm cộng.

* Đối với vị trí HTML5 Developer
'- Ưu tiên người có kinh nghiệm về HTML5
- Ưu tiên người có kinh nghiệm phát triển client game.
- Thành thạo Javascript, CSS, HTML (Hơn 3 năm sử dụng)
- Yêu thích và có kiến thức về: HTML5/CSS3/JQuery.
- Ưu tiên người có kinh nghiệm lập trình về: Javascript/Jquery Effects
- Có kiến thức về một trong các MVC javascript framework sau: Angular JS, Backbone, KnockoutJS, Ember.
- Yêu thích webgame, công nghệ HTML5. Có mong muốn lập trình và phát triển webgame.
- Có kiến thức về: Json-RPC, Ajax, Web service.
",Nhân viên,HTML5&Javascript/PHP,"Số năm kinh nghiệm: 1 năm trở lên
Trình độ: Cao Đẳng trở lên
**Yêu cầu chuyên môn:

- Kỹ năng lập trình tốt với: PHP, MySql, Javascript, ajax.
- Hiểu biết về các ngôn ngữ khác: C, C++, JAVA
- Hiểu biết về HTML, CSS, HTML5, CSS3
- Hiểu biết và nắm vững về OOP và MVC
- Hiểu biết và có kinh nghiệm làm việc với các PHP framework: CakePHP,Zend Framework, YII, codeigniter, Symfony2
- Có kinh nghiệm làm việc với các PHP OPEN CMS: Joomla, wordpress
- Nếu biết thêm Android và iOS, unity là một lợi thế lớn

**Yêu cầu khác:

- Khả năng làm việc với áp lực cao.
- Khả năng xử lý tình huống tốt và mềm dẻo.
- Có tinh thần học hỏi và nâng cao trình độ bản thân.
- Có khả năng làm việc nhóm hoặc độc lập.
- Có tinh thần chia sẻ và hòa đồng với các thanh viên trong nhóm.
- Có tinh thần trách nhiệm với công việc.
- Chấp nhận làm thêm giờ theo nhu cầu công việc
- Có ngoại ngữ tiếng Nhật là một ưu thế",5.000.000~15.000.000,Toàn thời gian,contact@applitech.vn,,,Hồ Chí Minh
Hợp tác lâu dài sẽ tăng lương và thưởng tết,Xuất nhập khẩu,"601 Cách Mạng Tháng Tám, Phường 15",Quận 10,5386950a76656e179c1e0000,Công ty TNHH Thể chất và sắc đẹp Calia,Hồ Chí Minh,"Nữ giúp việc nhà
35-55 tuổi, không vướng bận gia đình
Ở lại 24/24, Tính toán đi chợ nấu ăn, dọn dẹp nhà cửa
Biết sử dụng máy giặt, máy sinh tố, lò vi sóng...
Tết ở lại",Nhân viên,Giúp việc nhà,Số năm kinh nghiệm: 3 năm,Thỏa thuận,Toàn thời gian,phuongtram@vnpioneers.com,,,Hồ Chí Minh
"- Được đào tạo và làm việc trong môi trường chuyên nghiệp
- Cơ hội thăng tiến cao
- Phỏng vấn đi làm ngay",Hàng tiêu dùng/Thực phẩm,Phòng HCNS - 152 Đường Láng,Quận Đống Đa,5386950a76656e179c170000,Công ty TNHH Sỹ Phú,Hà Nội,"- Làm các món ăn theo menu của Nhà hàng
- Biết cách trưng bày món ăn theo trọng lượng đã được quy định
- Và các công việc mô tả theo nhân viên phụ bếp của nhà hàng ( giới thiệu chi tiết khi phỏng vấn)",Nhân viên,Nhân viên Phụ bếp,"- Nam, nữ tuổi từ 18 - 35
- Khỏe mạnh, nhanh nhẹn, nhiệt tình với công viêc
- Ưu tiên đã có kinh nghiệm làm bếp ở các nhà hàng (đặ biệt là nhà hàng chuyên về lẩu)
- Ý thức vệ sinh cao",1 - 3 triệu,Toàn thời gian,nhansu@syphu.vn,,,Hà Nội
,Vật tư/Cung vận,"Cụm nhà kho số 1, Khu công nghiệp Yên Phong, tỉnh Bắc Ninh",Huyện Yên Phong,5386950a76656e179c210000,Công ty TNHH ALS Bắc Ninh,Bắc Ninh,"Tổ chức, điều hành việc cung cấp dịch vụ trong phạm vi cấp tổ, bao gồm:
- Triển khai các quy trình, hướng dẫn, quy định nghiệp vụ
- Tổ chức phân công, đào tạo, hướng dẫn nhân viên
- Kiểm tra, giám sát, chịu trách nhiệm cuối cùng về chất lượng dịch vụ trong phạm vi quản lý.
- Liên tục rà soát, đề xuất cải tiến để không ngừng hoàn thiện DV của Công ty",Nhân viên,Cán bộ Tổ khai thác (Giao nhận hàng không),"Tốt nghiệp ĐH chính quy, ưu tiên thuộc khối ngành kinh tế như: Chuyên ngành quản trị kinh doanh, kinh tế, Marketing, logistics thuộc các trường  KTQD, Ngoại thương, Thương mại, GTVT…
- Có ý chí phấn đấu, trung thực, tâm huyết, trách nhiệm với công việc
- Tư duy tốt, có khả năng làm việc dưới áp lực cao
- Giao tiếp tốt
 TOEIC Tiếng Anh 400 trở lên hoặc tương đương",thỏa-thuận,Toàn thời gian,trangltq@alsb.com.vn,,,Bắc Ninh
"- Cơ hội thăng tiến cao
- Được làm việc trong môi trường chuyên nghiệp",Hàng tiêu dùng/Thực phẩm,Phòng HCNS - 152 Đường Láng,Quận Đống Đa,5386950a76656e179c170000,Công ty TNHH Sỹ Phú,Hà Nội,"- Đưa ra món ăn mới
- Lập công thức về thành phần thực phẩm, định lượng và giá gốc cho tất cả các món ăn.
- Luôn kiểm tra chất lượng thực phẩm đối với các bếp và có những bổ sung cần thiết.
- Giám sát hoạt động nhập, xuất hàng hóa và tình hình sử dụng hàng hóa trong ngày về: số lượng, chất lượng, chủng loại, giá thực phẩm ; Kiểm tra kho và tủ lạnh hàng ngày..
- Theo dõi và kiểm tra tất cả chi phí hoạt động của các bếp trực thuộc, đồng thời có biện pháp giảm chi phí , giá thành nếu thấy cần thiết.
- Giám sát mọi hoạt động trong ca của nhân viên bếp: Thúc đẩy nhân viên làm việc với năng suất cao, phân ca làm việc cho nhân viên trong bộ phận bếp...
- Đưa ra định hướng nhu cầu thị trường, đưa ra các sản phẩm phù hợp: đề xuất và thực hiện các sản phẩm mới và chương trình kinh doanh mới.
- Giám sát tình hình vệ sinh trong khu vực, an toàn lao động
- Theo dõi công tác kiểm kê hàng tháng.
- Tham vấn cho phòng nhân sự tuyển chọn nhân viên bếp.
- Thực hiện chế độ báo cáo.
- Các công việc khác theo yêu cầu của Ban Giám Đốc...",Nhân viên,"Bếp trưởng, bếp phó","- Nam, tuổi từ 25- 35, có ít nhất 2 năm kinh nghiệm làm ở vị trí bếp phó hoặc bếp trưởng ở nhà hàng, khách sạn.
- Trung thực, có tố chất lãnh đạo, có kỹ năng quản lý, kỹ năng làm việc độc lập và giao tiếp tốt",Thỏa thuận,Toàn thời gian,nhansu@syphu.vn,,,Hà Nội
